City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,hargeysa,9.56,44.065,18.01,95,96,3.15,SO,1730084037
245,hithadhoo,-0.6,73.0833,27.93,76,100,5.41,MV,1730084038
246,hadibu,12.65,54.0333,26.29,78,40,2.76,YE,1730084039
247,amahai,-3.3333,128.9167,28.48,73,67,2.32,ID,1730084040
248,sitka,57.0531,-135.33,8.94,71,40,4.63,US,1730084041
249,tolanaro,-25.0319,46.9987,24.04,94,20,7.2,MG,1730084042
250,san mariano,7.5,126.0,30.55,58,100,2.69,PH,1730084044
251,alaghsas,17.0187,8.0168,24.06,19,0,4.32,NE,1730084045
252,nova vicosa,-17.8919,-39.3719,24.29,84,86,1.77,BR,1730083934
253,newman,37.3138,-121.0208,20.02,69,100,3.58,US,1730084047
254,kuta,-8.7233,115.1723,29.97,74,20,3.09,ID,1730084048
255,esquina,-30.0144,-59.5272,15.5,70,23,2.32,AR,1730083865
256,mumford,5.2618,-0.759,25.53,86,16,2.2,GH,1730084050
257,anapa,44.8908,37.3239,8.19,93,40,2.0,RU,1730084051
258,suva,-18.1416,178.4415,27.71,74,40,3.6,FJ,1730084053
259,yuzhno-kurilsk,44.0306,145.8556,9.64,86,99,10.38,RU,1730084054
260,tateyama,34.9833,139.8667,19.96,88,75,2.06,JP,1730084055
261,severo-yeniseyskiy,60.3725,93.0408,-2.35,96,96,0.63,RU,1730084056
262,cabo san lucas,22.8909,-109.9124,25.6,67,2,3.27,MX,1730083764
263,ugoofaaru,5.6667,73.0,27.8,80,100,7.36,MV,1730084059
264,tura,25.5198,90.2201,26.68,67,0,0.46,IN,1730084061
265,al artawiyah,26.5053,45.3444,18.9,42,31,3.31,SA,1730084062
266,abadan,30.3392,48.3043,16.97,29,0,4.12,IR,1730084063
267,khromtau,50.2503,58.4347,0.31,87,97,3.72,KZ,1730084064
268,paraty,-23.2178,-44.7131,18.62,97,100,0.75,BR,1730083994
269,villa gesell,-37.2639,-56.973,15.48,75,97,7.21,AR,1730084066
270,murghob,38.1702,73.9667,-0.12,74,70,2.8,TJ,1730084067
271,island harbour,50.724,-1.2758,13.34,69,100,1.79,GB,1730084068
272,sabinas,27.85,-101.1167,24.34,49,0,4.62,MX,1730084070
273,burutu,5.3509,5.5076,25.27,90,79,1.08,NG,1730084071
